Time,SSID,BSSID,Signal,Channel,Band,Encryption
2026-09-15 05:15:01,Abdullah,d4:6b:a6:a0:d3:70,0,1,2.4,
2026-09-15 05:15:01,karama 1,8c:0d:76:3f:6f:4c,5,1,2.4,
2026-09-15 05:15:01,WE1420A6,d8:29:18:14:20:ac,5,1,2.4,
2026-09-15 05:15:01,Wolf,b0:ac:d2:34:b7:cb,5,1,2.4,
2026-09-15 05:15:01,Despaseto,5c:c0:a0:5e:d1:98,70,5,2.4,
2026-09-15 05:15:01,A.shawky,30:42:40:8e:d6:1c,10,6,2.4,
2026-09-15 05:15:01,WE_DDD440,10:71:b3:dd:d4:41,0,6,2.4,
2026-09-15 05:15:01,TEdata52DE73,e4:fb:5d:52:de:7c,5,7,2.4,
2026-09-15 05:15:01,Joe,10:71:b3:bf:43:51,100,10,2.4,
2026-09-15 05:15:01,ibrahim2023,ec:75:3e:ab:0f:a8,15,11,2.4,
2026-09-15 05:15:01,Despaseto,5c:c0:a0:5e:d1:9c,23,36,5,
2026-09-15 05:15:35,Wolf,b0:ac:d2:34:b7:cb,15,1,2.4,
2026-09-15 05:15:35,Abdullah,d4:6b:a6:a0:d3:70,5,1,2.4,
2026-09-15 05:15:35,WE_62ED84,50:42:89:62:ed:84,10,1,2.4,
2026-09-15 05:15:35,WE1420A6,d8:29:18:14:20:ac,5,1,2.4,
2026-09-15 05:15:35,WE_C1A3C4,a4:f3:3b:c1:a3:c4,5,1,2.4,
2026-09-15 05:15:35,Vodafone_VDSL_6DD8,9c:69:d1:45:6d:e0,10,2,2.4,
2026-09-15 05:15:35,Ahmed,80:e1:bf:dd:a6:28,0,3,2.4,
2026-09-15 05:15:35,WEF1F295,f0:c8:b5:f1:f2:a4,0,3,2.4,
2026-09-15 05:15:35,Despaseto,5c:c0:a0:5e:d1:98,65,5,2.4,
2026-09-15 05:15:35,A.shawky,30:42:40:8e:d6:1c,10,6,2.4,
2026-09-15 05:15:35,WE_DDD440,10:71:b3:dd:d4:41,15,6,2.4,
2026-09-15 05:15:35,Joe,10:71:b3:bf:43:51,100,10,2.4,
2026-09-15 05:15:35,ibrahim2023,ec:75:3e:ab:0f:a8,10,11,2.4,
2026-09-15 05:15:35,Despaseto,5c:c0:a0:5e:d1:9c,18,36,5,
2026-09-15 05:16:09,WE1420A6,d8:29:18:14:20:ac,15,1,2.4,
2026-09-15 05:16:09,Wolf,b0:ac:d2:34:b7:cb,5,1,2.4,
2026-09-15 05:16:09,SSID2,de:f8:b9:9c:a2:0f,15,5,2.4,
2026-09-15 05:16:09,Despaseto,5c:c0:a0:5e:d1:98,65,5,2.4,
2026-09-15 05:16:09,WE_DDD440,10:71:b3:dd:d4:41,20,6,2.4,
2026-09-15 05:16:09,A.shawky,30:42:40:8e:d6:1c,5,6,2.4,
2026-09-15 05:16:09,ibrahim2023,ec:75:3e:ab:0f:a8,5,11,2.4,
2026-09-15 05:16:09,Despaseto,5c:c0:a0:5e:d1:9c,18,36,5,
2026-09-15 05:16:43,WE_C1A3C4,a4:f3:3b:c1:a3:c4,10,1,2.4,
2026-09-15 05:16:43,Abdullah,d4:6b:a6:a0:d3:70,5,1,2.4,
2026-09-15 05:16:43,Vodafone_VDSL_6DD8,9c:69:d1:45:6d:e0,20,2,2.4,
2026-09-15 05:16:43,Despaseto,5c:c0:a0:5e:d1:98,24,5,2.4,
2026-09-15 05:16:43,WE_DDD440,10:71:b3:dd:d4:41,0,6,2.4,
2026-09-15 05:16:43,A.shawky,30:42:40:8e:d6:1c,10,6,2.4,
2026-09-15 05:16:43,Joe,10:71:b3:bf:43:51,100,10,2.4,
2026-09-15 05:16:43,ibrahim2023,ec:75:3e:ab:0f:a8,20,11,2.4,
2026-09-15 05:16:43,Despaseto,5c:c0:a0:5e:d1:9c,18,36,5,
2026-09-15 05:17:17,WE_C1A3C4,a4:f3:3b:c1:a3:c4,5,1,2.4,
2026-09-15 05:17:17,Abdullah,d4:6b:a6:a0:d3:70,5,1,2.4,
2026-09-15 05:17:17,Vodafone_VDSL_6DD8,9c:69:d1:45:6d:e0,5,2,2.4,
2026-09-15 05:17:17,Despaseto,5c:c0:a0:5e:d1:98,20,5,2.4,
2026-09-15 05:17:17,A.shawky,30:42:40:8e:d6:1c,10,6,2.4,
2026-09-15 05:17:17,WE_DDD440,10:71:b3:dd:d4:41,10,6,2.4,
2026-09-15 05:17:17,TEdata52DE73,e4:fb:5d:52:de:7c,0,7,2.4,
2026-09-15 05:17:17,Joe,10:71:b3:bf:43:51,100,10,2.4,
2026-09-15 05:17:17,ibrahim2023,ec:75:3e:ab:0f:a8,5,11,2.4,
2026-09-15 05:17:17,WE_D280A7,5c:4d:bf:d2:80:a7,10,11,2.4,
2026-09-15 05:17:17,Despaseto,5c:c0:a0:5e:d1:9c,18,36,5,
2026-09-15 05:17:52,karama 1,8c:0d:76:3f:6f:4c,10,1,2.4,
2026-09-15 05:17:52,WEDBBB65,9c:69:d1:db:bb:6c,0,1,2.4,
2026-09-15 05:17:52,WE1420A6,d8:29:18:14:20:ac,20,1,2.4,
2026-09-15 05:17:52,WE_C1A3C4,a4:f3:3b:c1:a3:c4,15,1,2.4,
2026-09-15 05:17:52,Zamalek,50:42:89:59:d3:14,10,1,2.4,
2026-09-15 05:17:52,Abdullah,d4:6b:a6:a0:d3:70,5,1,2.4,
2026-09-15 05:17:52,Vodafone_VDSL_6DD8,9c:69:d1:45:6d:e0,10,2,2.4,
2026-09-15 05:17:52,Despaseto,5c:c0:a0:5e:d1:98,24,5,2.4,
2026-09-15 05:17:52,WE_DDD440,10:71:b3:dd:d4:41,10,6,2.4,
2026-09-15 05:17:52,A.shawky,30:42:40:8e:d6:1c,5,6,2.4,
2026-09-15 05:17:52,TEdata52DE73,e4:fb:5d:52:de:7c,0,7,2.4,
2026-09-15 05:17:52,Joe,10:71:b3:bf:43:51,100,10,2.4,
2026-09-15 05:17:52,ibrahim2023,ec:75:3e:ab:0f:a8,20,11,2.4,
2026-09-15 05:17:52,WE_D280A7,5c:4d:bf:d2:80:a7,5,11,2.4,
2026-09-15 05:17:52,Despaseto,5c:c0:a0:5e:d1:9c,18,36,5,
2026-09-15 05:18:26,karama 1,8c:0d:76:3f:6f:4c,0,1,2.4,
2026-09-15 05:18:26,WE1420A6,d8:29:18:14:20:ac,5,1,2.4,
2026-09-15 05:18:26,Wolf,b0:ac:d2:34:b7:cb,5,1,2.4,
2026-09-15 05:18:26,Vodafone_VDSL_6DD8,9c:69:d1:45:6d:e0,5,2,2.4,
2026-09-15 05:18:26,Despaseto,5c:c0:a0:5e:d1:98,29,5,2.4,
2026-09-15 05:18:26,A.shawky,30:42:40:8e:d6:1c,5,6,2.4,
2026-09-15 05:18:26,Joe,10:71:b3:bf:43:51,100,10,2.4,
2026-09-15 05:18:26,Despaseto,5c:c0:a0:5e:d1:9c,18,36,5,
2026-09-15 05:19:00,WE1420A6,d8:29:18:14:20:ac,10,1,2.4,
